Date,Day No,Daily measure,Cumulative deviation,Measure interval,Daily Deviation,Position,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
2024-06-15,1,-3.0,,,0.0,at 1:40,,,,2024-06-21,Amplitude = 205 degrees full motion,,,,,,,,,,,,
2024-06-16,2,47.0,50.0,1.0,50.0,1 line slow,,,,,,,,,,,,,,,,,
2024-06-17,3,83.0,86.0,1.0,36.0,,15 at 11:30,,,,,,,,,,,,,,,,
2024-06-18,4,44.0,47.0,1.0,-39.0,,,,,,,,,,,,,,,,,,
2024-06-19,5,9.0,12.0,1.0,-35.0,fast,,,,,,,,,,,,,,,,,
2024-06-20,6,2.0,5.0,1.0,-7.0,,,,,,,,,,,,,,,,,,
2024-06-21,7,-1.0,2.0,1.0,-3.0,,,,,,,,,,,,,,,,,,
2024-06-22,8,5.0,8.0,1.0,6.0,,,,,,,,,,,,,,,,,,
2024-06-23,9,-4.0,-1.0,1.0,-9.0,,,,,,,,,,,,,,,,,,
2024-06-24,10,-5.0,-2.0,1.0,-1.0,,,,,,,,,,,,,,,,,,
2024-06-25,11,-8.0,-5.0,1.0,-3.0,,,,,,,,,,,,,,,,,,
2024-06-26,12,-17.0,-14.0,1.0,-9.0,,,,,,,,,,,,,,,,,,
2024-06-27,13,-33.0,-30.0,1.0,-16.0,,,,,,,,,,,,,,,,,,
2024-06-28,14,-50.0,-47.0,1.0,-17.0,adjusted,,,,,,,,,,,,,,,,,
2024-06-29,15,-50.0,-47.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-06-30,16,-48.0,-45.0,1.0,2.0,,,,,,,,,,,,,,,,,,
2024-07-01,17,-27.0,-24.0,1.0,21.0,,,,,,,,,,,,,,,,,,
