Date,Day No,Daily measure,Cumulative deviation,Measure interval,Daily Deviation,Position,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
2024-08-15,1,-42.0,-36.5,,0.0,Worn,,,,,Amplitude = ,,,,,,,,,,,,
2024-08-16,2,-36.5,-31.0,1.0,5.5,Worn,,,,,,,,,,,,,,,,,
2024-08-17,3,-26.0,-20.5,1.0,10.5,Worn,15 at 11:30,,,,,,,,,,,,,,,,
2024-08-18,4,-16.0,-10.5,1.0,10.0,Worn,,,,,,,,,,,,,,,,,
2024-08-19,5,-5.5,0.0,1.0,10.5,Adjusted,35.3 at 10:38,,,,,,,,,,,,,,,,
2024-08-20,6,-7.0,-1.5,1.0,-1.5,Worn,,,,,,,,,,,,,,,,,
2024-08-21,7,-7.5,-2.0,1.0,-0.5,Worn,,,,,,,,,,,,,,,,,
2024-08-22,8,-6.25,-0.75,1.0,1.25,Worn,,,,,,,,,,,,,,,,,
2024-08-23,9,-2.8,2.7,1.0,3.45,Worn,,,,,,,,,,,,,,,,,
2024-08-24,10,0.1,5.6,1.0,2.9,Worn,,,,,,,,,,,,,,,,,
2024-08-25,11,0.8,6.3,1.0,0.7000000000000001,Worn,,,,,,,,,,,,,,,,,
2024-08-26,12,0.4,5.8999999999999995,1.0,-0.4,Worn,,,,,,,,,,,,,,,,,
2024-08-27,13,-0.5,4.999999999999999,1.0,-0.9,Worn,,,,,,,,,,,,,,,,,
2024-08-28,14,-0.1,5.3999999999999995,1.0,0.4,Worn,,,,,,,,,,,,,,,,,
2024-08-29,15,-0.4,5.1,1.0,-0.30000000000000004,Worn,,,,,,,,,,,,,,,,,
2024-08-30,16,-3.0,2.4999999999999996,1.0,-2.6,Worn,,,,,,,,,,,,,,,,,
2024-08-31,17,-5.8,-0.30000000000000027,1.0,-2.8,Worn,,,,,,,,,,,,,,,,,
2024-09-01,18,-6.0,-0.5000000000000004,1.0,-0.20000000000000018,Worn,,,,,,,,,,,,,,,,,
2024-09-02,19,-5.7,-0.20000000000000062,1.0,0.2999999999999998,Worn,,,,,,,,,,,,,,,,,
2024-09-03,20,-3.2,2.2999999999999994,1.0,2.5,Worn,,,,,,,,,,,,,,,,,
2024-09-04,21,-0.5,5.0,1.0,2.7,Worn,,,,,,,,,,1925.0,,,,,,,
2024-09-05,22,3.0,8.5,1.0,3.5,Worn,,,,,,,,,,,0.5333333333333333,,,,,,
2024-09-06,23,4.5,10.0,1.0,1.5,Worn,,,,,,,-3.0,,,,61.9,,,,,,
2024-09-07,24,6.0,11.5,1.0,1.5,Worn,,,,,,,,,,,,,,,,,
2024-09-08,25,6.9,12.4,1.0,0.9000000000000004,Worn,,,,,,,,,,,,,,,,,
2024-09-09,26,6.5,12.0,1.0,-0.40000000000000036,Worn,,,,,,,,,,,,,,,,,
2024-09-10,27,8.0,13.5,1.0,1.5,Worn,630,,,,,,,,,,,,,,,,
2024-09-11,28,8.8,14.3,1.0,0.8000000000000007,Worn,,,,,,,,,,,,,,,,,
2024-09-12,29,11.5,17.0,1.0,2.6999999999999993,Worn,,,,,,,,,,,,,,,,,
2024-09-13,30,14.2,19.7,1.0,2.6999999999999993,Worn,,,,,,,,,,,,,,,,,
2024-09-14,31,13.8,19.3,1.0,-0.3999999999999986,Worn,Adjusted slower,,,,,,,,,,,,,,,,
2024-09-15,32,15.0,20.5,1.0,1.1999999999999993,Worn,,,,,,,,,,,,,,,,,
2024-09-16,33,18.8,24.3,1.0,3.8000000000000007,Worn,,,,,,,,,,,,,,,,,
2024-09-17,34,21.9,27.4,1.0,3.099999999999998,Worn,,,,,,,,,,,,,,,,,
2024-09-18,35,24.8,30.3,1.0,2.900000000000002,Worn,Adjusted slower,25.5 @11:09,25.9 @1:0025.5 @ 14:49,,,,,,,,,,,,,,
2024-09-19,36,17.5,23.0,1.0,-7.300000000000001,Worn,Adjusted faster,17.1@8:59,,,,,,,,,,,,,,,
2024-09-20,37,16.1,21.6,1.0,-1.3999999999999986,Worn,,17.8@10PM,,,,,,,,,,,,,,,
2024-09-21,38,17.2,22.7,1.0,1.0999999999999979,Worn,,18.3@2:00,,,,,,,,,,,,,,,
2024-09-22,39,20.4,25.9,1.0,3.1999999999999993,Worn,,,,,,,,,,,,,,,,,
2024-09-23,40,25.8,31.3,1.0,5.400000000000002,Worn,night Dial down,Reset to zero,,,,,,,,,,,,,,,
2024-09-24,41,1.5,32.8,1.0,1.5,UK Worn,,,,,,,,,,,,,,,,,
2024-09-25,42,2.5,33.8,1.0,1.0,UK Worn,,,,,,,,,,,,,,,,,
2024-09-26,43,5.5,36.8,1.0,3.0,UK Worn,,,,,,,,,,,,,,,,,
