Date,Day No,Daily measure,Cumulative deviation,Measure interval,Daily Deviation,Position,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
2024-07-30,1.0,0.0,,0.0,,,,,,,Amplitude = 205 degrees full motion,,,,,,,,,,,,
2024-07-31,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-08-01,3.0,0.0,0.0,1.0,0.0,,15 at 11:30,,,,,,,,,,,,,,,,
2024-08-02,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2024-08-03,5.0,1.5,1.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-04,6.0,1.75,1.75,1.0,0.25,,,,,,,,,,,,,,,,,,
2024-08-05,7.0,2.0,2.0,1.0,0.25,,,,,,,,,,,,,,,,,,
2024-08-06,8.0,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-08-07,9.0,2.5,2.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-08,10.0,3.0,3.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-09,11.0,3.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-08-10,12.0,4.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2024-08-11,13.0,4.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-08-12,14.0,4.5,4.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-13,15.0,5.0,5.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-14,16.0,6.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2024-08-15,17.0,5.5,5.5,1.0,-0.5,,,,,,,,,,,,,,,,,,
2024-08-16,18.0,5.5,5.5,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-08-17,19.0,6.0,6.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-18,20.0,6.5,6.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-19,21.0,7.0,7.0,1.0,0.5,,,,,,,,,,,1925.0,,,,,,,
2024-08-20,22.0,7.0,7.0,1.0,0.0,,,,,,,,,,,,0.5333333333333333,,,,,,
2024-08-21,23.0,8.0,8.0,1.0,1.0,,,,,,,,-3.0,,,,61.9,,,,,,
2024-08-22,24.0,8.0,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-08-23,25.0,8.5,8.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-24,26.0,8.5,8.5,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-08-25,27.0,9.0,9.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-26,28.0,9.5,9.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-27,29.0,10.0,10.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-28,30.0,10.5,10.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-29,31.0,10.5,10.5,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-08-30,32.0,11.0,11.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-08-31,33.0,11.5,11.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-01,34.0,11.75,11.75,1.0,0.25,,,,,,,,,,,,,,,,,,
2024-09-02,35.0,12.0,12.0,1.0,0.25,,,,,,,,,,,,,,,,,,
2024-09-03,36.0,12.0,12.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-09-04,37.0,12.5,12.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-05,38.0,13.0,13.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-06,39.0,13.0,13.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-09-07,40.0,13.5,13.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-08,41.0,14.0,14.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-09,42.0,14.0,14.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-09-10,43.0,14.5,14.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-11,44.0,15.0,15.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-12,45.0,15.5,15.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-13,46.0,16.0,16.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-14,47.0,16.0,16.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-09-15,48.0,16.5,16.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-16,49.0,17.0,17.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-17,50.0,17.0,17.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-09-18,51.0,17.5,17.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-19,52.0,18.5,18.5,1.0,1.0,,,,,,,,,,,,,,,,,,
2024-09-20,53.0,18.5,18.5,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-09-21,54.0,19.0,19.0,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-22,55.0,19.5,19.5,1.0,0.5,,,,,,,,,,,,,,,,,,
2024-09-23,56.0,,,,,,,,,,,,,,,,,,,,,,
2024-09-24,57.0,,,,,,,,,,,,,,,,,,,,,,
2024-09-25,58.0,,,,,,,,,,,,,,,,,,,,,,750.0
2024-09-26,59.0,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,60.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,
2024-09-28,61.0,21.0,21.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2024-09-29,62.0,21.5,21.5,1.0,0.5,,,,,,,,,,,,,,,,,,
