,Date,Day No,Daily measure,Cumulative deviation,Measure interval,Daily Deviation,Position,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,2024-02-21,1,13.0,,1.0,0.0,Crown up,,27 June 24 Full Amplitude=470,,,,,,,,
1,2024-02-22,2,18.0,,1.0,5.0,Crown up,,,,,,,,,,
2,2024-02-23,3,21.0,,1.0,3.0,Crown up,,,,,,,,,,
3,2024-02-24,4,18.0,,1.0,-3.0,Crown up,,,,,,,,,,
4,2024-02-25,5,23.0,,1.0,5.0,Crown up,,,,,,,,,,
5,2024-02-26,6,21.0,,1.0,-2.0,Crown up,,,,,,,,,,
6,2024-02-27,7,26.0,,1.0,5.0,Crown up,,,,,,,,,,
7,2024-02-28,8,26.0,,1.0,0.0,Crown up,,,,,,,,,,
8,2024-02-29,9,28.0,,1.0,2.0,Crown up,,,,,,,,,,
9,2024-03-01,10,42.0,,1.0,14.0,Crown up,,,,,,,,,,
10,2024-03-04,11,55.0,,3.0,4.333333333333333,Crown up,,,,,,,,,,
11,2024-03-05,12,65.0,,1.0,10.0,Crown up,,,,,,,,,,
12,2024-03-06,13,88.0,,1.0,23.0,,,,,,,,,,,
13,2024-03-07,14,104.0,,1.0,16.0,,,,,,,,,,,
14,2024-03-08,15,119.0,,1.0,15.0,,,,,,,,,,,
15,2024-03-09,16,134.0,,1.0,15.0,,,,,,,,,,,
16,2024-03-11,17,122.0,,2.0,-6.0,Picked up and carrtied to kitchn,,,,,,,,,,
17,2024-03-12,18,107.0,,1.0,-15.0,,,,,,,,,,,
18,2024-03-13,19,95.0,,1.0,-12.0,,,,,,,,,,,
19,2024-04-11,20,1.0,,1.0,,Serviced,,,,,,,,,,
20,2024-04-12,21,21.0,,0.5,40.0,,,,,,,,,,,
21,2024-04-13,22,60.0,,1.0,39.0,,,,,,,,,,,
22,2024-04-14,23,99.0,,1.0,39.0,,,,,,,,,13,,
23,2024-04-15,24,-32.0,,0.0,,Adjusted,,,,,,,,Adjusted,13,-33
24,2024-04-15,25,-1.0,,1.0,31.0,,,,,,Actual,,2024-04-17 00:00:00,18/04/2024 Adjusted slower,2024-04-19 00:00:00,2024-06-03 00:00:00
25,2024-04-16,26,-9.0,,1.0,-8.0,,,,,,0,0.0,0,0,0,0
26,2024-04-16,27,-1.0,,1.0,8.0,Adjusted,,,,,34,0.5666666666666667,,0.5,,
27,2024-04-17,28,1.0,,1.0,2.0,,,,,,45,0.75,1,,-0.5,
28,2024-04-18,29,13.0,0.0,1.0,,Adjusted slower,,,,,70,1.1666666666666667,,-0.5,,
29,2024-04-19,30,13.0,0.0,1.0,0.0,,,,,,90,1.5,,0.5,,0
30,2024-04-20,31,10.0,-3.0,1.0,-3.0,,,,,,105,1.75,1,,,
31,2024-04-21,32,11.0,-2.0,1.0,1.0,,,,,,,,,,,
32,2024-04-22,33,9.0,-4.0,1.0,-2.0,,,,,,120,2.0,,,-0.5,0
33,2024-04-26,34,-1.0,-4.0,0.0,0.0,Reset,,,,,140,2.3333333333333335,,,,
34,2024-04-27,35,2.0,-2.0,1.0,2.0,,,,,,170,2.8333333333333335,1,0,,
35,2024-04-28,36,0.0,-2.0,0.0,,Reset,,,,,180,3.0,,,-1,0
36,2024-04-29,37,2.0,0.0,1.0,2.0,,,,,,210,3.5,1,-0.5,,
37,2024-04-30,38,1.0,-1.0,1.0,-1.0,,,,,,240,4.0,2,-0.5,,0
38,2024-05-01,39,0.0,-2.0,1.0,-1.0,,,,,,290,4.833333333333333,2,-0.5,,0
39,2024-05-02,40,-2.0,-4.0,1.0,-2.0,,,,,,330,5.5,2,-1,,
40,2024-05-03,41,-2.5,-4.5,1.0,-0.5,,,,,,380,6.333333333333333,,-0.5,-2,
41,2024-05-04,42,-2.0,-4.0,1.0,0.5,,,,,,420,7.0,,-0.5,,0
42,2024-05-05,43,-6.0,-8.0,1.0,-4.0,,,,,,450,7.5,,,-2,
43,2024-05-06,44,-2.0,-4.0,1.0,4.0,,,,,,470,7.833333333333333,3,,,
44,2024-05-07,45,-1.0,-3.0,1.0,1.0,,,,,,500,8.333333333333334,,-2,,0
