,Date,Day No,Daily measure,Cumulative deviation,Measure interval,Daily Deviation,Position,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,2024-06-07,1.0,-0.5,,1.0,,at 11:30AM,,,27 June 24 Amplitude = 360,,,,,,,,,,,,,,
1,2024-06-08,2.0,19.0,,1.0,19.5,,,,,,,,,,,,,,,,,,
2,2024-06-09,3.0,-15.0,,1.0,-29.0,Adjusted,15 at 11:30,,,,,,,,,,,,,,,,
3,2024-06-10,4.0,-15.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
4,2024-06-11,5.0,-14.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
5,2024-06-12,6.0,-13.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
6,2024-06-13,7.0,-12.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
7,2024-06-14,8.0,-10.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,
8,2024-06-15,9.0,-8.5,6.5,1.0,1.5,fraction slow,,,,,,,,,,,,,,,,,
9,2024-06-16,10.0,-9.0,6.0,1.0,-0.5,,,,,,,,,,,,,,,,,,
10,2024-06-17,11.0,-9.5,5.5,1.0,-0.5,,,,,,,,,,,,,,,,,,
11,2024-06-18,12.0,-12.0,3.0,1.0,-2.5,,,,,,,,,,,,,,,,,,
12,2024-06-19,13.0,-12.5,2.5,1.0,-0.5,,,,,,,,,,,,,,,,,,
13,2024-06-20,14.0,-14.0,1.0,1.0,-1.5,,,,,,,,,,,,,,,,,,
14,2024-06-21,15.0,-16.0,-1.0,1.0,-2.0,,,,,,,,,,,,,,,,,,
15,2024-06-22,16.0,-17.0,-2.0,1.0,-1.0,fraction fast,,,,,,,,,,,,,,,,,
16,2024-06-23,17.0,-19.0,-4.0,1.0,-2.0,,,,,,,,,,,,,,,,,,
17,2024-06-24,18.0,-19.0,-4.0,1.0,0.0,,,,,,,,,,,,,,,,,,
18,2024-06-25,19.0,-21.0,-6.0,1.0,-2.0,,,,,,,,,,,,,,,,,,
19,2024-06-26,20.0,-23.0,-8.0,1.0,-2.0,1 line fast,,,,,,,,,,,,,,,,,
20,2024-06-27,21.0,-25.5,-10.5,1.0,-2.5,,,,,,,,,,,,,,,,,,
21,2024-06-28,22.0,-28.0,-13.0,1.0,-2.5,1 line fast,,,,,,,,,,,0.5333333333333333,,,,,,
22,2024-06-29,23.0,-27.0,-12.0,1.0,1.0,,,,,,,,-15,,,,61.9,,,,,,
23,2024-06-30,24.0,-26.0,-11.0,1.0,1.0,,,,,,,,,,,,,,,,,,
24,2024-07-01,25.0,-25.0,-10.0,1.0,1.0,,,,,,Actual,,2024-06-10 00:00:00,,,,,,,,,,
25,2024-07-02,26.0,-25.5,-10.5,1.0,-0.5,,,,,,0,0.0,0,,,,,,,,,,
26,2024-07-03,27.0,-24.0,-9.0,1.0,1.5,,,,,,34,0.5666666666666667,,,,,,,,,,,
27,2024-07-04,28.0,-23.5,-8.5,1.0,0.5,,,23.5,,,60,1.0,,,,,,,,,,,
28,2024-07-05,29.0,-22.0,-7.0,1.0,1.5,,,,,,80,1.3333333333333333,,,,,,,,,,,
29,2024-07-06,30.0,-20.0,-5.0,1.0,2.0,,,,,,90,1.5,0,,,,,,,,,,
30,2024-07-07,31.0,-18.0,-3.0,1.0,2.0,,,,,,105,1.75,,,,,,,,,,,
31,2024-07-08,32.0,-16.0,-1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
32,2024-07-09,33.0,-15.5,-0.5,1.0,0.5,,,,,,120,2.0,0,,,,,,,,,,
33,2024-07-10,34.0,-14.5,0.5,1.0,1.0,0.5 line slow,,,,,140,2.3333333333333335,,,,,,,,,,,
34,2024-07-11,35.0,-12.0,3.0,1.0,2.5,,,,,,170,2.8333333333333335,0,,,,,,,,,,
35,2024-07-12,36.0,-2.5,12.5,1.0,9.5,,,,,,180,3.0,,,,,,,,,,,
36,2024-07-13,37.0,0.0,15.0,1.0,2.5,,,,,,210,3.5,0,,,,,,,,,,
37,2024-07-14,38.0,3.0,18.0,1.0,3.0,0.5 line slow,,,,,240,4.0,,,,,,,,,,,
38,2024-07-15,39.0,5.5,20.5,1.0,2.5,,,,,,270,4.5,0,,,,,,,,,,
39,2024-07-16,40.0,5.5,20.5,1.0,0.0,,,,,,300,5.0,,,,,,,,,,,
