,Date,Day No,Daily measure,Cumulative deviation,Measure interval,Daily Deviation,Position,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,2024-05-23,1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
1,2024-05-24,2,1.5,1.5,1.0,1.5,,,,,,,,,,,,,,,,,,
2,2024-05-25,3,6.0,6.0,1.0,4.5,,,,,,,,,,,,,,,,,,
3,2024-05-26,4,7.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,
4,2024-05-27,5,13.0,13.0,1.0,6.0,,,,,,,,,,,,,,,,,,
5,2024-05-28,6,12.0,12.0,1.0,-1.0,,,,,,,,,,,,,,,,,,
6,2024-05-29,7,18.0,18.0,1.0,6.0,,,,,,,,,,,,,,,,,,
7,2024-05-31,8,23.0,23.0,1.0,5.0,,,,,,,,,,,,,,,,,,
8,2024-06-01,9,27.0,27.0,1.0,4.0,,,,,,,,,,,,,,,,,,
9,2024-06-02,10,30.0,30.0,1.0,3.0,,,,,,,,,,,,,,,,,,
10,2024-06-03,11,37.0,37.0,1.0,7.0,,,,,,,,,,,,,,,,,,
11,2024-06-04,12,40.0,40.0,1.0,3.0,,,,,,,,,,,,,,,,,,
12,2024-06-05,13,49.5,49.5,1.0,9.5,,,,,,,,,,,,,,,,,,
13,2024-06-06,14,59.0,59.0,1.0,10.5,,,,,,,,,,,,,,,,,,
14,2024-06-07,15,64.0,64.0,1.0,5.0,,,,,,,,,,,,,,,,,,
15,2024-06-08,16,,,,,,,,,,,,,,,,,,,,,,
16,2024-06-09,17,,,,,,,,,,,,,,,,,,,,,,
17,2024-06-10,18,75.0,75.0,1.0,3.0,,,,,,,,,,,,,,,,,,
18,2024-06-11,19,83.0,83.0,1.0,8.0,,,,,,,,,,,,,,,,,,
19,2024-06-12,20,85.0,85.0,1.0,2.0,,,,,,,,,,,,,,,,,,
20,2024-06-13,21,88.0,88.0,1.0,3.0,,,,,,,,,,,,,,,,,,
21,2024-06-14,22,92.5,92.5,1.0,4.5,,,,,,,,,,,,,,,,,,
22,2024-06-15,23,-36.0,92.5,1.0,4.5,,,,,,,,17,,,,,,,,,,
23,2024-06-16,24,,,,,,,,,,,,,,,,,,,,,,
24,2024-06-17,25,-60.0,,1.0,,,,,,,Actual,,2024-05-08 00:00:00,,,,,,,,,,
25,2024-06-18,26,-60.0,92.5,1.0,0.0,,,,,,0,0.0,0,,,,,,,,,,
26,2024-06-19,27,-63.0,89.5,1.0,-3.0,,,,,,34,0.5666666666666667,0,,,,,,,,,,
27,2024-06-20,28,-66.0,86.5,1.0,-3.0,,,,,,60,1.0,0,,,,,,,,,,
28,2024-06-21,29,-66.0,86.5,1.0,0.0,,,,,,80,1.3333333333333333,0,,,,,,,,,,
29,2024-06-22,30,-71.0,81.5,1.0,-5.0,,,,,,90,1.5,,,,,,,,,,,
30,2024-06-23,31,-68.0,84.5,1.0,3.0,,,,,,105,1.75,0.5,,,,,,,,,,
31,2024-06-24,32,-68.0,84.5,1.0,0.0,,,,,,,,,,,,,,,,,,
32,2024-06-25,33,-66.0,86.5,1.0,2.0,,,,,,120,2.0,,,,,,,,,,,
33,2024-06-26,34,-64.0,88.5,1.0,2.0,,,,,,140,2.3333333333333335,0,,,,,,,,,,
34,2024-06-27,35,-66.0,86.5,1.0,-2.0,,,,,,170,2.8333333333333335,0,,,,,,,,,,
35,2024-06-28,36,-59.0,93.5,1.0,7.0,,,,,,180,3.0,0,,,,,,,,,,
36,2024-06-29,37,-58.0,94.5,1.0,1.0,,,,,,210,3.5,,,,,,,,,,,
37,2024-06-30,38,-52.0,100.5,1.0,6.0,,,,,,240,4.0,0.5,,,,,,,,,,
38,2024-07-01,39,-42.0,110.5,1.0,10.0,,,,,,290,4.833333333333333,,,,,,,,,,,
39,2024-07-02,40,-39.0,113.5,1.0,3.0,,,,,,300,5.0,0.5,,,,,,,,,,
40,2024-07-03,41,-36.0,116.5,1.0,3.0,,,,,,360,6.0,0.5,,,,,,,,,,
41,2024-07-04,42,-25.0,127.5,1.0,11.0,,,,,,400,6.666666666666667,0,,,,,,,,,,
42,2024-07-05,43,-12.0,140.5,1.0,13.0,,,,,,420,7.0,0,,,,,,,,,,
43,2024-07-06,44,-8.0,144.5,1.0,4.0,,,,,,470,7.833333333333333,,,,,,,,,,,
44,2024-07-07,45,2.0,154.5,1.0,10.0,,,,,,500,8.333333333333334,,,,,,,,,,,
45,2024-07-08,46,0.0,152.5,1.0,-2.0,,,,,,520,8.666666666666666,,,,,,,,,,,
46,2024-07-09,47,-1.0,151.5,1.0,-1.0,,,,,,540,9.0,0,,,,,,,,,,
47,2024-07-10,48,1.5,154.0,1.0,2.5,,,,,,600,10.0,0.5,,,,,,,,,,
48,2024-07-11,49,1.5,154.0,1.0,0.0,,,,,,660,11.0,,,,,,,,,,,
49,2024-07-12,50,9.0,161.5,1.0,7.5,,,,,,700,11.666666666666666,,,,,,,,,,,
50,2024-07-13,51,16.0,168.5,1.0,7.0,,,,,,750,12.5,1,,,,,,,,,,
51,2024-07-14,52,21.0,173.5,1.0,5.0,,,,,,780,13.0,,,,,,,,,,,
52,2024-07-15,53,23.5,176.0,1.0,2.5,,,,,,793,13.216666666666667,,,,,,,,,,,
53,2024-07-16,54,30.0,182.5,1.0,6.5,,,,,,840,14.0,,,,,,,,,,,
54,2024-07-17,55,36.0,188.5,1.0,6.0,,,,,,870,14.5,,,,,,,,,,,
55,2024-07-18,56,45.0,197.5,1.0,9.0,,,,,,915,15.25,,,,,,,,,,,
56,2024-07-19,57,45.0,197.5,1.0,0.0,,,,,,975,16.25,,,,,,,,,,,
57,2024-07-20,58,48.0,200.5,1.0,3.0,,,,,,1020,17.0,,,,,,,,,,,750.0
58,2024-07-21,59,53.0,205.5,1.0,5.0,,,,,,1040,17.2,,,,,,,,,,,
59,2024-07-22,60,53.0,205.5,1.0,0.0,,,,,,1080,17.2,,,,,,,,,,,
60,2024-07-23,61,52.0,204.5,1.0,-1.0,,,,,,1140,19.0,,,,,,,,,,,
61,2024-07-24,62,50.0,202.5,1.0,-2.0,,,,,,1170,19.5,,,,,,,,,,,
62,2024-07-25,63,50.0,202.5,1.0,0.0,,,,,,1200,20.0,,,,,,,,,,,
63,2024-07-26,64,51.0,203.5,1.0,1.0,,,,,,1220,20.333333333333332,,,,,,,,,,,
64,2024-07-27,65,53.0,205.5,1.0,2.0,,,,,,1240,20.666666666666668,,,,,,,,,,,
65,2024-07-28,66,54.5,207.0,1.0,1.5,,,,,,1270,21.166666666666668,,,,,,,,,,,
66,2024-07-29,67,57.0,209.5,1.0,2.5,,,,,,1320,22.0,,,,,,,,,,,
67,2024-07-30,68,63.5,216.0,1.0,6.5,,,,,,1340,22.333333333333332,,,,,,,,,,,
68,2024-07-31,69,63.0,215.5,1.0,-0.5,,,,,,1357,22.616666666666667,,,,,,,,,,,
69,2024-08-01,70,65.0,217.5,1.0,2.0,,,,,,1380,23.0,,,,,,,,,,,
70,2024-08-02,71,72.5,225.0,1.0,7.5,,,,,,1410,23.5,,,,,,,,,,,
71,2024-08-03,72,79.0,231.5,1.0,6.5,,,,,,1420,23.666666666666668,,,,,,,,,,,
72,2024-08-04,73,80.0,232.5,1.0,1.0,,,,,,1440,24.0,4,,,,,,,,,,
73,2024-08-05,74,84.0,236.5,1.0,4.0,,,,,,1467,24.45,,,,,,,,,,,
74,2024-08-06,75,68.0,220.5,1.0,-16.0,,,,,,1500,25.0,,,,,,,,,,,
75,2024-08-07,76,65.0,217.5,1.0,-3.0,,,,,,1539,25.65,,,,,,,,,,,
76,2024-08-08,77,63.5,216.0,1.0,-1.5,,,,,,1560,26.0,,,,,,,,,,,
77,2024-08-09,78,59.0,211.5,1.0,-4.5,,,,,,1580,26.333333333333332,,,,,,,,,,,
78,2024-08-10,79,58.5,211.0,1.0,-0.5,On winder,,,,,1590,26.5,,,,,,,,,,,
79,2024-08-11,80,57.5,210.0,1.0,-1.0,On winder,,,,,1607,26.783333333333335,,,,,,,,,,,
80,2024-08-12,81,54.5,207.0,1.0,-3.0,On winder,,,,,1620,27.0,,,,,,,,,,,
81,2024-08-13,82,52.0,204.5,1.0,-2.5,On winder,,,,,1650,27.5,,,,,,,,,,,
82,2024-08-14,83,50.0,202.5,1.0,-2.0,On winder,,,,,1680,28.0,,,,,,,,,,,
83,2024-08-15,84,57.0,209.5,1.0,7.0,On winder,,,,,1710,28.5,,,,,,,,,,,
84,2024-08-16,85,56.0,208.5,1.0,-1.0,On winder,,,,,1730,28.833333333333332,,,,,,,,,,,
85,2024-08-17,86,49.5,202.0,1.0,-6.5,,,,,,1748,29.133333333333333,,,,,,,,,,,
86,2024-08-18,87,53.5,206.0,1.0,4.0,,,,,,1759,29.316666666666666,,,,,,,,,,,
87,2024-08-19,88,52.0,204.5,1.0,-1.5,On winder,,,,,1800,30.0,,,,,,,,,,,
88,2024-08-20,89,,,,,Stopped,,,,,1860,31.0,,,,,,,,,,,
89,2024-08-21,90,-3.0,204.5,2.0,,,,,,,1882,31.366666666666667,,,,,,,,,,,
90,2024-08-22,91,-5.0,202.5,1.0,-2.0,On Winder,,,,,1920,32.0,,,,,,,,,,,
91,2024-08-23,92,-10.5,197.0,1.0,-5.5,On Winder,,,,,1950,32.5,,,,,,,,,,,
92,2024-08-24,93,-14.0,193.5,1.0,-3.5,On Winder,,,,,1980,33.0,,,,,,,,,,,
93,2024-08-25,94,-22.0,185.5,1.0,-8.0,On Winder,,,,,2070,34.5,,,,,,,,,,,
94,2024-08-26,95,-18.0,189.5,1.0,4.0,On Winder,,,,,,,,,,,,,,,,,
95,2024-08-27,96,-20.0,187.5,1.0,-2.0,On Winder,,,,,,,,,,,,,,,,,
96,2024-08-28,97,-22.0,185.5,1.0,-2.0,On Winder,,,,,,,,,,,,,,,,,
97,2024-08-29,98,-27.5,180.0,1.0,-5.5,Twelve hr winder,,,,,,,,,,,,,,,,,
98,2024-08-30,99,-29.0,178.5,1.0,-1.5,Twelve hr winder,,,,,,,,,,,,,,,,,
99,2024-08-31,100,-37.0,170.5,1.0,-8.0,Twelve hr winder,,,,,,,,,,,,,,,,,
100,2024-09-01,101,-35.5,172.0,1.0,1.5,Twelve hr winder,,,,,,,,,,,,,,,,,
101,2024-09-02,102,-37.0,170.5,1.0,-1.5,Twelve hr winder,,,,,,,,,,,,,,,,,
102,2024-09-03,103,-32.5,175.0,1.0,4.5,Twelve hr winder,,,,,,,,,,,,,,,,,
103,2024-09-04,104,-35.5,172.0,1.0,-3.0,Twelve hr winder,,,,,,,,,,,,,,,,,
104,2024-09-05,105,-32.5,175.0,1.0,3.0,Twelve hr winder,,,,,,,,,,,,,,,,,
105,2024-09-06,106,-28.2,179.3,1.0,4.300000000000001,Twelve hr winder,,,,,,,,,,,,,,,,,
106,2024-09-07,107,-23.0,184.5,1.0,5.199999999999999,Twelve hr winder,,,,,,,,,,,,,,,,,
107,2024-09-08,108,-25.5,182.0,1.0,-2.5,Eleven hr winder,,,,,,,,,,,,,,,,,
108,2024-09-09,109,-26.5,181.0,1.0,-1.0,Eleven hr winder,,,,,,,,,,,,,,,,,
109,2024-09-10,110,-20.0,187.5,1.0,6.5,Eleven hr winder,,,,,,,,,,,,,,,,,
110,2024-09-11,111,-21.0,186.5,1.0,-1.0,Eleven hr winder,,,,,,,,,,,,,,,,,
111,2024-09-12,112,-23.0,184.5,1.0,-2.0,Eleven hr winder,,,,,,,,,,,,,,,,,
112,2024-09-13,113,-24.0,183.5,1.0,-1.0,Eleven hr winder,,,,,,,,,,,,,,,,,
113,2024-09-14,114,-27.0,180.5,1.0,-3.0,Eleven hr winder,,,,,,,,,,,,,,,,,
114,2024-09-15,115,-25.5,182.0,1.0,1.5,Eleven hr winder,,,,,,,,,,,,,,,,,
115,2024-09-16,116,-24.0,183.5,1.0,1.5,Eleven hr winder,,,,,,,,,,,,,,,,,
116,2024-09-17,117,-29.0,178.5,1.0,-5.0,Eleven hr winder,,,,,,,,,,,,,,,,,
117,2024-09-18,118,-17.0,190.5,1.0,12.0,Eleven hr winder,,,,,,,,,,,,,,,,,
118,2024-09-19,119,-1.5,206.0,1.0,15.5,Eleven hr winder,,,,,,,,,,,,,,,,,
