,Date,Day No,Daily measure,Cumulative deviation,Measure interval,Daily Deviation,Comment,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,2024-02-23,1.0,-2.0,-15.0,1.0,0.0,,,27 June 24 Amplitude = 540,,,,,,,,,
1,2024-02-24,2.0,-33.0,-18.0,1.0,-31.0,,,,,,,,540,,,,
2,2024-02-25,3.0,-120.0,-105.0,1.0,-87.0,,,,,,,,,,,,
3,2024-02-26,4.0,-180.0,-165.0,1.0,-60.0,,,,,,,,,,,,
4,2024-02-28,5.0,-338.0,-323.0,2.0,-79.0,,,,,,,,,,,,
5,2024-02-29,6.0,-390.0,-375.0,1.0,-52.0,,,,,,,,,,,,
6,2024-03-01,7.0,-440.0,-425.0,1.0,-50.0,,,,,,,,,,,,
7,2024-03-04,8.0,-677.0,-662.0,3.0,-79.0,,,,,,,,,,,,
8,2024-03-05,9.0,-795.0,-780.0,1.0,-118.0,,,,,,,,,,,,
9,2024-03-06,10.0,-838.0,-823.0,1.0,-43.0,,,,,,,,,,,,
10,2024-03-07,11.0,-884.0,-869.0,1.0,-46.0,,,,,,,,,,,,
11,2024-03-08,12.0,7.0,0.0,0.0,,Stopped,,,,,,,,,,,
12,2024-03-09,13.0,-22.0,-29.0,1.0,-29.0,,,,,,,,,,,,
13,2024-03-11,14.0,-60.0,-67.0,2.0,-19.0,,,,,,,,,,,,
14,2024-03-12,15.0,0.0,0.0,0.0,,Stopped,,,,,,,,,,,
15,2024-03-13,16.0,39.0,39.0,1.0,39.0,,,,,,,,,,,,
16,2024-04-11,17.0,15.0,15.0,,,Serviced,,,,,,,,,,,
17,2024-04-12,18.0,2.0,-13.0,1.0,-13.0,,,,,,,,,,,,
18,2024-04-13,19.0,9.0,-6.0,1.0,7.0,,,,,,,,,Adjusted,Adjusted,,
19,2024-04-14,20.0,22.0,7.0,1.0,13.0,,,,,,,,,12,16/13,-106,-23
20,2024-04-15,21.0,47.0,32.0,1.0,25.0,,,,,Actual,,2024-04-16 00:00:00,2024-04-17 00:00:00,18/04/2024 Adjusted,2024-04-19 00:00:00,2024-06-04 00:00:00,2024-06-24 00:00:00
21,2024-04-16,22.0,62.0,47.0,1.0,15.0,Adjusted,,,,0,0.0,0,0,0,0,0,0
22,2024-04-17,23.0,67.0,52.0,1.0,5.0,,,,,30,0.5,,,-0.5,,,
23,2024-04-18,24.0,72.5,57.5,1.0,5.5,Adjusted 0.25 turn slow,,,,40,,,,,-3,,
24,2024-04-18,25.0,12.0,0.0,0.0,,Reset,,,,60,1.0,,-1,,,,
25,2024-04-19,26.0,16.0,4.0,1.0,4.0,Adjusted 0.33 turn slow,,,,70,1.1666666666666667,,,-1,,,
26,2024-04-20,27.0,7.5,-4.5,1.0,-8.5,,,,,90,1.5,-1.5,,-1.5,,,
27,2024-04-21,28.0,-8.0,-20.0,1.0,-15.5,,,,,95,1.5833333333333333,,-2,,,,
28,2024-04-26,29.0,-2.0,0.0,0.0,,Reset,,,,120,2.0,,,,-4.5,-2,
29,2024-04-27,30.0,-5.0,-3.0,1.0,-3.0,,,,,133,2.216666666666667,-2,,,-5,,
30,2024-04-28,31.0,28.0,-3.0,0.0,,reset,,,,170,2.8333333333333335,,-2,-4,,,
31,2024-04-29,32.0,30.0,-1.0,1.0,2.0,,,,,180,3.0,-3,,,-6,,
32,2024-04-30,33.0,12.0,-19.0,1.0,-18.0,,,,,210,3.5,-3,-4,-4.5,,,
33,2024-05-01,34.0,-14.0,-45.0,1.0,-26.0,Adjusted 0.25 turn fast,,,,240,4.0,-5,-4.5,-5,,-2,
34,2024-05-02,35.0,-29.0,-60.0,1.0,-15.0,,,,,260,4.333333333333333,,-5,,,,-12
35,2024-05-03,36.0,-43.0,-74.0,1.0,-14.0,Adjusted 0.25 turn fast,,,,285,4.75,,,-7,,,
36,2024-05-04,37.0,-32.0,-65.0,1.0,9.0,,,,,300,5.0,,,-8.5,,-5,
37,2024-05-05,38.0,-18.0,-79.0,1.0,-14.0,,,,,310,5.166666666666667,,-6,,,,
38,2024-05-06,39.0,-15.0,-76.0,1.0,3.0,,,,,378,6.3,-8,,-10,-12,,
39,2024-05-07,40.0,-17.0,-78.0,1.0,-2.0,,,,,420,7.0,,,-10.5,,,-41
40,2024-05-08,41.0,-22.0,-83.0,1.0,-5.0,,,,,,7.5,,,,-14,-11,
41,2024-05-09,42.0,-36.0,-97.0,1.0,-14.0,,,,,470,7.833333333333333,,-9,,,,
42,2024-05-10,43.0,-53.0,-114.0,1.0,-17.0,0.5 turn fast,660.0,,,500,8.333333333333334,,,-12,,,
43,2024-05-11,44.0,-67.0,-129.0,1.0,-15.0,,,,,520,8.666666666666666,,,,-15,,
44,2024-05-12,45.0,-77.0,-139.0,1.0,-10.0,,,,,557,9.283333333333333,-10,-9.5,,,,
45,2024-05-13,46.0,-92.0,-154.0,1.0,-15.0,0.5 turn fast,,,,610,10.166666666666666,,,,-16,,
46,2024-05-14,47.0,-94.0,-156.0,1.0,-2.0,,,,,649,10.816666666666666,-11,-10.5,-12,-16,,
47,2024-05-15,48.0,-100.0,-162.0,1.0,-6.0,,,,,700,11.666666666666666,,-10.5,,,,
48,2024-05-16,49.0,-103.0,-165.0,1.0,-3.0,atomic clock,,,,730,12.166666666666666,-12,,,-18,,
49,2024-05-17,50.0,-108.0,-170.0,1.0,-5.0,0.25 turn fast,,,,720,12.0,,,-13,,-12.5,-43
50,2024-05-18,51.0,-113.0,-175.0,1.0,-5.0,0.25 turn fast,,,,780,13.0,,,,,,
51,2024-05-19,52.0,-113.0,-175.0,1.0,0.0,Measure 90 mins early,,,,793,13.216666666666667,,,,-19,,
52,2024-05-20,53.0,-108.0,-170.0,1.0,5.0,,,,,840,14.0,,,,,,
53,2024-05-21,54.0,-110.0,-172.0,1.0,-2.0,,,,,870,14.5,,-8,,,,
54,2024-05-22,55.0,-113.0,-175.0,1.0,-3.0,,,1080,,915,15.25,,,,-18,,
55,2024-05-23,56.0,-113.5,-175.5,1.0,-0.5,,,,,973,16.216666666666665,,-7,,,,
56,2024-05-24,57.0,-107.0,-169.0,1.0,6.5,,,,,1020,17.0,,,,,,
57,2024-05-25,58.0,-108.0,-170.0,1.0,-1.0,,,,,1050,17.5,,,-7,,,
58,2024-05-26,59.0,-78.0,-170.0,1.0,0.0,No reason found,,,,1090,18.166666666666668,,,,-18,,
59,2024-05-27,60.0,-78.0,-170.0,1.0,0.0,,,,,1140,19.0,,,,,,
60,2024-05-28,61.0,-79.0,-171.0,1.0,-1.0,,,,,1170,19.5,,,,,,
61,2024-05-29,62.0,-81.0,-169.0,1.0,2.0,,,,,1210,20.166666666666668,,-4,,,,
62,2024-05-30,63.0,-86.5,-163.5,1.0,5.5,,,,,1220,20.333333333333332,,,,,,
63,2024-05-31,64.0,-85.0,-162.0,1.0,1.5,,,,,1240,20.666666666666668,,,-3,,,
64,2024-06-01,65.0,-88.0,-159.0,1.0,3.0,,1320.0,,,1270,21.166666666666668,,,,,,
65,2024-06-02,66.0,-86.0,-157.0,1.0,2.0,,,,,1320,22.0,,,,,,
66,2024-06-03,67.0,-85.0,-156.0,1.0,1.0,,,,,1350,22.5,,3,,-5,,
67,2024-06-04,68.0,-86.0,-157.0,1.0,-1.0,,,,,1357,22.616666666666667,,,,,,
68,2024-06-05,69.0,-82.0,-153.0,1.0,4.0,0.25 turn slow,,,,1380,23.0,,4,2,,,
69,2024-06-06,70.0,-81.0,-152.0,1.0,1.0,,,,,1410,23.5,,5,,,,
70,2024-06-07,71.0,-86.0,-148.0,1.0,4.0,,,,,1420,23.666666666666668,,,,,,
71,,,,,0.0,,Reset,,,,1440,24.0,5,,4,-5,4,-22
72,2024-06-08,72.0,23.0,,1.0,,,,,,1467,24.45,,,,,,
73,2024-06-09,73.0,22.5,-148.5,1.0,-0.5,,,,,1500,25.0,,,,,,
74,2024-06-10,74.0,29.0,-142.0,1.0,6.5,,,,,1539,25.65,,,,,,
75,2024-06-11,75.0,32.0,-139.0,1.0,3.0,,,,,1560,26.0,,,,,,
76,2024-06-12,76.0,42.0,-129.0,1.0,10.0,1 turn slow,,,,1580,26.333333333333332,,,,,,
77,2024-06-13,77.0,39.0,-132.0,1.0,-3.0,,,,,1590,26.5,,,,,,
78,2024-06-14,78.0,35.0,-136.0,1.0,-4.0,,,,,1607,26.783333333333335,,,,,,
79,2024-06-15,79.0,35.0,-136.0,1.0,0.0,0.25 fast,,,,1620,27.0,,,,,,
80,2024-06-16,80.0,37.5,-133.5,1.0,2.5,,,,,1650,27.5,,,,,,
81,2024-06-17,81.0,39.0,-132.0,1.0,1.5,,,,,1680,28.0,,,,,,
82,2024-06-18,82.0,37.0,-134.0,1.0,-2.0,,,,,1710,28.5,,,,,,
83,2024-06-19,83.0,37.0,-134.0,1.0,0.0,,,,,1730,28.833333333333332,,,,,,
84,2024-06-20,84.0,17.0,-154.0,1.0,-20.0,Wound twice by mistake,,,,1748,29.133333333333333,,,,,,
85,2024-06-21,85.0,5.0,-166.0,1.0,-12.0,No explanation for change,,,,1759,29.316666666666666,,,,,,
86,2024-06-22,86.0,-4.0,-175.0,1.0,-9.0,,,,,1800,30.0,,,,,,
87,2024-06-23,87.0,-14.0,-185.0,1.0,-10.0,,,,,1860,31.0,,,,,,
88,2024-06-24,88.0,-23.0,-194.0,1.0,-9.0,,,,,1882,31.366666666666667,,,,,,
89,2024-06-25,89.0,-45.0,-216.0,1.0,-22.0,,,,,1920,32.0,,,,,,
90,2024-06-26,90.0,-57.0,-228.0,1.0,-12.0,1.5 turns fast,,,,1950,32.5,,,,,,
91,2024-06-27,91.0,-42.0,-213.0,1.0,15.0,0.5 turn slow,,,,1980,33.0,,,,,,
92,2024-06-28,92.0,-41.0,-212.0,1.0,1.0,,,,,2070,34.5,,,,,,
93,2024-06-29,93.0,66.0,-105.0,1.0,107.0,,,,,,,,,,,,
94,2024-06-30,94.0,116.0,-55.0,1.0,50.0,,,,,,,,,,,,
95,2024-07-01,95.0,170.0,-1.0,1.0,54.0,,,,,,,,,,,,
96,2024-07-02,96.0,215.0,44.0,1.0,45.0,,,,,,,,,,,,
97,2024-07-03,97.0,265.0,94.0,1.0,50.0,adjusted,,,,,,,,,,,
98,2024-07-04,98.0,320.0,149.0,1.0,55.0,,,,,,,,,560,,,
99,2024-07-05,99.0,352.0,181.0,1.0,32.0,,,,,,,,,,,,
100,2024-07-06,100.0,378.0,207.0,1.0,26.0,,,,,,,,,,,,
101,2024-07-07,101.0,404.0,233.0,1.0,26.0,,,,,,,,,,,,
102,2024-07-08,102.0,432.0,261.0,1.0,28.0,,,,,,,,,,,,
103,2024-07-09,103.0,390.0,219.0,1.0,-42.0,,,,,,,,,,,,
104,2024-07-10,104.0,485.0,314.0,1.0,95.0,,,,,,,,,,,,
105,2024-07-11,105.0,,,,,,,,,,,,,,,,
106,2024-07-12,106.0,,,,,,,,,,,,,,,,
107,2024-07-13,107.0,,,,,,,,,,,,,,,,
108,2024-07-14,108.0,,,,,,,,,,,,,,,,
109,2024-07-15,109.0,,,,,,,,,,,60,,,,,
110,2024-07-16,110.0,,,,,,,,,,,28800,,,,,
111,2024-07-17,111.0,,,,,,,,,,,,,,,,
112,2024-07-18,112.0,-26.0,314.0,,,reset,,,,,,,,,,,
113,2024-07-19,113.0,-16.0,324.0,,10.0,,,,,,,,,,,,
114,2024-07-20,114.0,-2.0,328.0,,14.0,,,,,,,,,,,,
115,2024-07-21,115.0,29.0,345.0,,31.0,,,,,,,,,,,,
116,2024-07-22,116.0,36.0,321.0,,7.0,,,,,,,,,,,,
117,2024-07-23,117.0,45.0,323.0,,9.0,,,,,,,,,,,,
118,2024-07-24,118.0,61.0,330.0,,16.0,1 turn slow,,,,,,,,,,,
119,2024-07-25,119.0,64.0,317.0,,3.0,,,,,,,,,,,,
120,2024-07-26,120.0,67.0,317.0,,3.0,,,,,,,,,,,,
121,2024-07-27,121.0,60.0,307.0,,-7.0,,,,,,,,,,,,
122,2024-07-28,122.0,69.0,323.0,,9.0,,,,,,,,,,,,
123,2024-07-29,123.0,67.0,312.0,,-2.0,,,,,,,,,,,,
124,2024-07-30,124.0,72.0,319.0,,5.0,,,,,,,,,,,,
125,2024-07-31,125.0,54.0,296.0,,-18.0,,,,,,,,,,,,
126,2024-08-01,126.0,25.0,285.0,,-29.0,,,,,,,,,,,,
127,2024-08-02,127.0,-22.0,267.0,,-47.0,De magnetized,,,,,,,,,,,
128,2024-08-03,128.0,120.0,456.0,,142.0,,,,,,,,,,,,
129,2024-08-04,129.0,349.0,543.0,,229.0,,,,,,,,,,,,
130,2024-08-05,130.0,,,,,,,,,,,,,,,,
131,2024-08-06,131.0,,,,,,,,,,,,,,,,
132,2024-08-07,132.0,,,,,,,,,,,,,,,,
133,2024-08-08,133.0,,,,,,,,,,,,,,,,
134,2024-08-09,134.0,,,,,,,,,,,,,,,,
135,2024-08-10,135.0,,,,,,,,,,,,,,,,
136,2024-08-11,136.0,,,,,,,,,,,,,,,,
137,2024-08-12,137.0,,,,,,,,,,,,,,,,
138,2024-08-13,138.0,,,,,,,,,,,,,,,,
139,2024-08-14,139.0,,,,,,,,,,,,,,,,
140,2024-08-15,140.0,,,,,,,,,,,,,,,,
141,2024-08-16,141.0,,,,,,,,,,,,,,,,
142,2024-08-17,142.0,,,,,,,,,,,,,,,,
143,2024-08-18,143.0,,,,,,,,,,,,,,,,
144,2024-08-19,144.0,,,,,,,,,,,,,,,,
145,2024-08-20,145.0,,,,,,,,,,,,,,,,
146,2024-08-21,146.0,,,,,,,,,,,,,,,,
147,2024-08-22,147.0,,,,,,,,,,,,,,,,
148,2024-08-23,148.0,,,,,,,,,,,,,,,,
149,2024-08-24,149.0,,,,,,,,,,,,,,,,
150,2024-08-25,150.0,,,,,,,,,,,,,,,,
151,2024-08-26,151.0,,,,,,,,,,,,,,,,
152,2024-08-27,152.0,,,,,,,,,,,,,,,,
153,2024-08-28,153.0,,,,,,,,,,,,,,,,
