,Date,Day No,Daily measure,Cumulative deviation,Measure interval,Daily Deviation,Position,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,2024-07-30,1.0,0.0,,0.0,,,,,,,Amplitude = 205 degrees full motion,,,,,,,,,,,,
1,2024-07-31,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
2,2024-08-01,3.0,0.0,0.0,1.0,0.0,,15 at 11:30,,,,,,,,,,,,,,,,
3,2024-08-02,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
4,2024-08-03,5.0,1.5,1.5,1.0,0.5,,,,,,,,,,,,,,,,,,
5,2024-08-04,6.0,1.75,1.75,1.0,0.25,,,,,,,,,,,,,,,,,,
6,2024-08-05,7.0,2.0,2.0,1.0,0.25,,,,,,,,,,,,,,,,,,
7,2024-08-06,8.0,2.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,
8,2024-08-07,9.0,2.5,2.5,1.0,0.5,,,,,,,,,,,,,,,,,,
9,2024-08-08,10.0,3.0,3.0,1.0,0.5,,,,,,,,,,,,,,,,,,
10,2024-08-09,11.0,3.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,
11,2024-08-10,12.0,4.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12,2024-08-11,13.0,4.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,
13,2024-08-12,14.0,4.5,4.5,1.0,0.5,,,,,,,,,,,,,,,,,,
14,2024-08-13,15.0,5.0,5.0,1.0,0.5,,,,,,,,,,,,,,,,,,
15,2024-08-14,16.0,6.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,
16,2024-08-15,17.0,5.5,5.5,1.0,-0.5,,,,,,,,,,,,,,,,,,
17,2024-08-16,18.0,5.5,5.5,1.0,0.0,,,,,,,,,,,,,,,,,,
18,2024-08-17,19.0,6.0,6.0,1.0,0.5,,,,,,,,,,,,,,,,,,
19,2024-08-18,20.0,6.5,6.5,1.0,0.5,,,,,,,,,,,,,,,,,,
20,2024-08-19,21.0,7.0,7.0,1.0,0.5,,,,,,,,,,,1925.0,,,,,,,
21,2024-08-20,22.0,7.0,7.0,1.0,0.0,,,,,,,,,,,,0.5333333333333333,,,,,,
22,2024-08-21,23.0,8.0,8.0,1.0,1.0,,,,,,,,-3.0,,,,61.9,,,,,,
23,2024-08-22,24.0,8.0,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,
24,2024-08-23,25.0,8.5,8.5,1.0,0.5,,,,,,,,,,,,,,,,,,
25,2024-08-24,26.0,8.5,8.5,1.0,0.0,,,,,,,,,,,,,,,,,,
26,2024-08-25,27.0,9.0,9.0,1.0,0.5,,,,,,,,,,,,,,,,,,
27,2024-08-26,28.0,9.5,9.5,1.0,0.5,,,,,,,,,,,,,,,,,,
28,2024-08-27,29.0,10.0,10.0,1.0,0.5,,,,,,,,,,,,,,,,,,
29,2024-08-28,30.0,10.5,10.5,1.0,0.5,,,,,,,,,,,,,,,,,,
30,2024-08-29,31.0,10.5,10.5,1.0,0.0,,,,,,,,,,,,,,,,,,
31,2024-08-30,32.0,11.0,11.0,1.0,0.5,,,,,,,,,,,,,,,,,,
32,2024-08-31,33.0,11.5,11.5,1.0,0.5,,,,,,,,,,,,,,,,,,
33,2024-09-01,34.0,11.75,11.75,1.0,0.25,,,,,,,,,,,,,,,,,,
34,2024-09-02,35.0,12.0,12.0,1.0,0.25,,,,,,,,,,,,,,,,,,
35,2024-09-03,36.0,12.0,12.0,1.0,0.0,,,,,,,,,,,,,,,,,,
36,2024-09-04,37.0,12.5,12.5,1.0,0.5,,,,,,,,,,,,,,,,,,
37,2024-09-05,38.0,13.0,13.0,1.0,0.5,,,,,,,,,,,,,,,,,,
38,2024-09-06,39.0,13.0,13.0,1.0,0.0,,,,,,,,,,,,,,,,,,
39,2024-09-07,40.0,13.5,13.5,1.0,0.5,,,,,,,,,,,,,,,,,,
